id,user_id,book_id,quantity,unit_price,timestamp_raw,shipping,unit_price_clean,unit_price_usd,paid_price,timestamp_parsed,date,year,month,day,cluster_id,authors,author_set
71389,47288,18976,2,27.00$,10/01/24 10:38:08 A.M.,,27.0,27.0,54.0,2024-10-01 10:38:08.000,2024-10-01,2024,10,1,47288,[],()
66343,47049,19403,1,€50¢50,10:14;19-Oct-2024,"4940 Arnoldo Keys, West Arnette, KS 77599",6060.0,6060.0,6060.0,2024-10-19 10:14:00.000,2024-10-19,2024,10,19,47049,[],()
72606,46685,19500,1,USD 45.99,"22:13:35,2025-07-02",,45.99,45.99,45.99,2025-07-02 22:13:35.000,2025-07-02,2025,7,2,46299,[],()
68462,45336,18992,1,€ 71.00,2025-10-20 16:25:20,,85.2,85.2,85.2,2025-10-20 16:25:20.000,2025-10-20,2025,10,20,45336,[],()
72691,45311,19388,1,52.25 $,"08:48:47 A.M.,28-August-2024",,52.25,52.25,52.25,2024-08-28 08:48:47.000,2024-08-28,2024,8,28,45311,[],()
68274,45939,19251,3,22$75¢,"00:52:59, 2024-07-01","Suite 161 84822 Volkman Gateway, Luketon, LA 46335",2275.0,2275.0,6825.0,2024-07-01 00:52:59.000,2024-07-01,2024,7,1,45939,[],()
66248,45486,19550,1,35 USD,22:10:29 02/07/25,,35.0,35.0,35.0,2025-02-07 22:10:29.000,2025-02-07,2025,2,7,45486,[],()
64098,46656,19558,1,33.00 USD,"30-Oct-2024, 15:56",,33.0,33.0,33.0,2024-10-30 15:56:00.000,2024-10-30,2024,10,30,46656,[],()
73454,44440,18990,1,44.75USD,01:34:17 P.M. 11-November-2024,,44.75,44.75,44.75,2024-11-11 13:34:17.000,2024-11-11,2024,11,11,44440,[],()
67871,46293,19212,1,49.0USD,"15-Jul-2024,01:16:06 A.M.",,49.0,49.0,49.0,2024-07-15 01:16:06.000,2024-07-15,2024,7,15,46293,[],()
71951,45542,18854,2,€46¢00,"16:02:39, 2024-12-23",,5520.0,5520.0,11040.0,2024-12-23 16:02:39.000,2024-12-23,2024,12,23,45542,[],()
66491,45800,19187,3,€ 59.5,"03:37,  2-Apr-2025",NULL,71.39999999999999,71.39999999999999,214.2,2025-04-02 03:37:00.000,2025-04-02,2025,4,2,45800,[],()
